a52dec 0.7.4-9
liboauth 1.0.3+9+g11e9461-2
libofa 0.9.3-6
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
libpaper 1.1.24-10
libpcap 1.8.1-2
libpciaccess 0.13.5-1
libpeas 1.20.0-2
libpipeline 1.4.1-1
libplist 2.0.0-1
libpng 1.6.29-1
libpng12 1.2.57-1
libproxy 0.4.15-2
libpsl 0.17.0-2
libpulse 10.0-3
libpwquality 1.3.0-2
libquvi 0.9.4-4
libquvi-scripts 0.9.20131130-3
libraw1394 2.1.2-1
librsvg 2:2.40.17-1
librtmp0 2.4-2
libsamplerate 0.1.9-1
libsasl 2.1.26-11
libseccomp 2.3.2-1
libsecret 0.18.5+14+g9980655-1
libshout 1:2.4.1-3
libsigc++ 2.10.0-1
libsigsegv 2.11-1
libsm 1.2.2-2
libsndfile 1.0.28-1
libsoup 2.58.1-1
libsoxr 0.1.2-1
libspiro 1:0.5.20150702-1
libsrtp 1:1.5.4-1
libssh 0.7.5-1
libssh2 1.8.0-2
libstemmer 0+337-2
libsynctex 2016.41290-12
libsystemd 232-8
libtar 1.2.20-3
libtasn1 4.12-1
libthai 0.1.26-1
libtheora 1.1.1-3
libtiff 4.0.8-1
libtiff4 3.9.7-1
libtiger 0.3.4-4
libtirpc 1.0.1-3
libtool 2.4.6-8
libtracker-sparql 1.12.0+1+g922c213a5-2
libtxc_dxtn 1.0.1-6
libudev0-shim 1-2
libunistring 0.9.7-1
libunwind 1.2-1
libupnp 1.6.21-1
libusb 1.0.21-1
libusbmuxd 1.0.10-2
libutempter 1.1.6-2
libutil-linux 2.29.2-2
libuv 1.12.0-1
libva 1.8.2-1
libvdpau 1.1.1-2
libvisual 0.4.0-6
libvoikko 4.1-1
libvorbis 1.3.5-1
libvpx 1.6.1-1
libvpx1.3 1.3.0-1
libwacom 0.24-1
libwbclient 4.6.4-2
libwebp 0.6.0-1
libwmf 0.2.8.4-14
libwrap 7.6.24-3
libx11 1.6.5-1
libx264 2:148.20170519-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxfont2 2.0.1-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.7.1-1
libxkbcommon-x11 0.7.1-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
